,comment,date,filters,page_id,page_name,raw,reaction,search_term,share,title
0,8,30 Jan 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
30 Jan 2015
  ·
  · Schedule & Location of Blood Donation Campaign on Thaipusam 1st February 2015
facebook.com
Sedarah Malaysia's post
Schedule & Location of Blood Donation Campaign on Thaipusam 1st February 2015
364
364
8 comments",364,Blood Donation,,Schedule & Location of Blood Donation Campaign on Thaipusam 1st February 2015
1,1,11 Dec 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
11 Dec 2015
  ·
  · ""Donating blood is not a right. It's a privilege"".
facebook.com
Derma Darah Kedah Perlis - DDKP's post
""Donating blood is not a right. It's a privilege"".
391
391
1 comments",391,Blood Donation,,"""Donating blood is not a right. It's a privilege""."
2,,24 Jul 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
24 Jul 2015
  ·
  · Did you know where your donated blood goes?
facebook.com
Blood Bank Hospital Umum Sarawak's post
Did you know where your donated blood goes?
395
395",,Blood Donation,,Did you know where your donated blood goes?
3,6,16 Nov 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
16 Nov 2015
  ·
  · “You’re Somebody’s Type” Blood Donation Drive Date : 28 & 29 November 2015 Time : 10.00 am to 6.00pm (both days) Venue : eCurve, Mutiara Damansara ""People Live You Give""
142
142
6 comments",142,Blood Donation,,"“You’re Somebody’s Type” Blood Donation Drive Date : 28 & 29 November 2015 Time : 10.00 am to 6.00pm (both days) Venue : eCurve, Mutiara Damansara ""People Live You Give"""
4,,3 Apr 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
3 Apr 2015
  ·
  · …how to use mosquito fogging guns and donate blood to save lives - all at MIECC this Saturday! Sign up NOW at https://www.facebook.com/events/791302387625205/ and be a part of the war against dengue. If not now, when? It's #Time2Fight!
facebook.com
Time2Fight's post
Pay tribute to those who have lost their lives to dengue, learn how to use mosquito fogging guns and donate blood to save lives - all at MIECC this Saturday! Sign up NOW at https://www.facebook.com/events/791302387625205/ and be a part of the war against dengue. If not now, when? It's #Time2Fight!
62
62",,Blood Donation,,"…how to use mosquito fogging guns and donate blood to save lives - all at MIECC this Saturday! Sign up NOW at https://www.facebook.com/events/791302387625205/ and be a part of the war against dengue. If not now, when? It's #Time2Fight!"
5,2,16 Nov 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
16 Nov 2015
  ·
  · …and girls... the most exciting blood donation drive is back! Make yourselves available on 28 & 29 Nov 2015 and join the excitement! Spread the words..!! #somebodystype #ursomebodystype #blooddonation
facebook.com
You're Somebody's Type's post
Ladies and gentlemen, boys and girls... the most exciting blood donation drive is back! Make yourselves available on 28 & 29 Nov 2015 and join the excitement! Spread the words..!! #somebodystype #ursomebodystype #blooddonation
21
21
2 comments",21,Blood Donation,,…and girls... the most exciting blood donation drive is back! Make yourselves available on 28 & 29 Nov 2015 and join the excitement! Spread the words..!! #somebodystype #ursomebodystype #blooddonation
6,2,9 Sep 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
9 Sep 2015
  ·
  · …Even you might need a donation one day. Here are steps for donating blood:
facebook.com
Blood Bank Hospital Umum Sarawak's post
Why donate blood? Helps to ensure it's available when needed. Even you might need a donation one day. Here are steps for donating blood:
70
70
2 comments",70,Blood Donation,,…Even you might need a donation one day. Here are steps for donating blood:
7,,15 Jun 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
15 Jun 2015
  ·
  · 'Man With The Golden Arm' Donates Blood That's Saved 2 Million Babies In some pregnant women, Rh disease causes their antibodies to attack the fetus's red blood cells. Scientists needed a way to turn this reaction off, and in Harrison's blood, they found it: a rare antibody known as Rh (D) immune globulin or anti-D. Doctors believe Harrison has anti-D because of the blood he received at age 14. And so Harrison became the first anti-D donor in Australia — and the most prolific. He's in the Guinness Book of World Records and known at home as ""the man with the golden arm."" http://www.wnyc.org/story/man-with-the-golden-arm-donates-blood-thats-saved-2-million-babies/
Hisham Abdullah's post
'Man With The Golden Arm' Donates Blood That's Saved 2 Million Babies In some pregnant women, Rh disease causes their antibodies to attack the fetus's red blood cells. Scientists needed a way to turn this reaction off, and in Harrison's blood, they found it: a rare antibody known as Rh (D) immune globulin or anti-D. Doctors believe Harrison has anti-D because of the blood he received at age 14. And so Harrison became the first anti-D donor in Australia — and the most prolific. He's in the Guinness Book of World Records and known at home as ""the man with the golden arm."" http://www.wnyc.org/story/man-with-the-golden-arm-donates-blood-thats-saved-2-million-babies/
102
102",,Blood Donation,,"'Man With The Golden Arm' Donates Blood That's Saved 2 Million Babies In some pregnant women, Rh disease causes their antibodies to attack the fetus's red blood cells. Scientists needed a way to turn this reaction off, and in Harrison's blood, they found it: a rare antibody known as Rh (D) immune globulin or anti-D. Doctors believe Harrison has anti-D because of the blood he received at age 14. And so Harrison became the first anti-D donor in Australia — and the most prolific. He's in the Guinness Book of World Records and known at home as ""the man with the golden arm."" http://www.wnyc.org/story/man-with-the-golden-arm-donates-blood-thats-saved-2-million-babies/"
8,1,20 Jan 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
20 Jan 2015
  ·
  · Donate your blood and make a difference. You dont have to be a doctor to save lives:) To those around parcel E, Putrajaya, come over to level 7, E7, KEMENTERIAN KESIHATAN MALAYSIA for blood donation. Pusat Darah Negara will be here until 4 pm today.
Bahagian Pemakanan, Kementerian Kesihatan Malaysia's post
Donate your blood and make a difference. You dont have to be a doctor to save lives:) To those around parcel E, Putrajaya, come over to level 7, E7, KEMENTERIAN KESIHATAN MALAYSIA for blood donation. Pusat Darah Negara will be here until 4 pm today.
347
347
1 comment",347,Blood Donation,,"Donate your blood and make a difference. You dont have to be a doctor to save lives:) To those around parcel E, Putrajaya, come over to level 7, E7, KEMENTERIAN KESIHATAN MALAYSIA for blood donation. Pusat Darah Negara will be here until 4 pm today."
9,,8 Jan 2015,eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDE1XFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDE1LTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMTVcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDE1LTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAxNS0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAxNS0xMi0zMVxcXCJ9XCJ9In0,373560576236,KEMENTERIAN KESIHATAN MALAYSIA,"KEMENTERIAN KESIHATAN MALAYSIA
Page · 3.4M like this · Hospital
8 Jan 2015
  ·
  · …Seri Dr S.Subramaniam chats with blood donor at the donation campaign... (y)
231
231
4 shares",231,Blood Donation,4,…Seri Dr S.Subramaniam chats with blood donor at the donation campaign... (y)
