UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Radio Sai,@Radiosaih2h,2018-01-14T05:05:33.000Z,Here are two heartwarming accounts of seva carried out by Sai devotees at Lord Murugan's shrines in #Malaysia - + the blood donation drive broke the Malaysian record  http://media.radiosai.org/journals/Vol_04/01MAR06/malaysia-seva.htm…,,,6,25,https://pbs.twimg.com/media/DTegfPFW0AA14qP?format=jpg&name=small,https://twitter.com/Radiosaih2h/status/952406307306459137
mohanshan,@mohanshan2,2018-02-14T06:19:56.000Z,"A big THANK YOU MALAYSIANS.     Malaysia Hindu Sangam added a success story on Nationwide Blood Donation Campaign by collecting 6279 blood bags in continuous 6 years time. Our most gratitude to 
@PDNKKM
 and Kementerian Kesihatan Malaysia for all the support on this noble cause.",,,1,2,,https://twitter.com/mohanshan2/status/963659050926989317
Arata,@norismaizah,2018-02-12T13:47:11.000Z,"Majalah 3 open topik pasal blood donation, ttbe ad sorang tu ad darah rare which is dalam Malaysia yg baru dikenal pasti ,dier sowg jek yg ad darah mcm tu.. Now, aku dh mula risau darah aku yg hantar ke lab tu.. Result nya bln 6 ni",,1,,,,https://twitter.com/norismaizah/status/963046831042150401
XOX Malaysia,@XOX_Malaysia,2018-02-27T07:45:10.000Z,"Be a hero & let's save lives at our upcoming blood donation drive. Happening on March 3, 11.00am - 5.00pm at Space@XOX, Sunway Pyramid.

Bring your friends & family with you too!",,1,,2,https://pbs.twimg.com/media/DXBq4O-VQAA5Nl8?format=png&name=small,https://twitter.com/XOX_Malaysia/status/968391544670769153
DanceDeets,@dancedeets,2018-02-27T17:55:02.000Z,"2018/03/03: Kampar, Perak, Malaysia: Hari Fit Kampar - Blood Donation and Body Check Up https://dancedeets.com/events/1517942518328641/hari-fit-kampar-blood-donation-and-body-check-up?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed…",,,,,https://pbs.twimg.com/media/DXD2kERVAAA5hyc?format=jpg&name=small,https://twitter.com/dancedeets/status/968545022856622080
Ensany Global,@ensanyglobal,2018-03-15T08:58:54.000Z,"Blood donation helps in lowering the risk of cancer. By donating blood the iron stores in the body are maintained at healthy levels. A reduction in the iron level in the body in linked with low cancer risk.

http://ensany.com

#ensany #ensanyglobal #campaign #Malaysia #ngo",,,,,https://pbs.twimg.com/media/DYUUpRUVwAA30wj?format=jpg&name=small,https://twitter.com/ensanyglobal/status/974208303965220864
Fuad Ahmad Nasir,@fuadahmad88,2018-03-24T03:38:03.000Z,"Blood Donation is underway at Aeon Cheras, Kuala Lumpur.
#KhuddamulAhmadiyya
#Ahmadiyya
#MessiahHasCome
#LoveForAllHatredForNone
#Malaysia",,1,7,12,https://pbs.twimg.com/media/DZBhj_iVMAIeAAJ?format=jpg&name=360x360,https://twitter.com/fuadahmad88/status/977389050595168256
MIA,@miaconnect1967,2018-04-02T03:30:00.000Z,"MIA Blood Donation 2018 - give hope, give blood, give life #blooddonation #malaysianinstituteofaccountants #malaysia",,,1,1,https://pbs.twimg.com/media/DZv2n2_UQAE4Uug?format=jpg&name=small,https://twitter.com/miaconnect1967/status/980648514890825729
Si Merah :3,@janatunmaqwa,2018-04-24T05:54:47.000Z,"Replying to 
@nurmaliyarahimKalau pac aritu tajuk sorg2 blood donation dgn kedai satu malaysia",😂,,,,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,https://twitter.com/janatunmaqwa/status/988657483634765824
Columbia Asia MY,@columbiaasia,2018-05-23T04:00:14.000Z,"Many activities were happening at #ColumbiaAsiaHospitalPuchong Hero Carnival including blood donation drive, kids activities, meeting real life heroes - Fire & Rescue Dept. of Malaysia & our surprise celebration to all mothers that attended the event! http://ow.ly/lrXS30k5X4M",,,,,https://pbs.twimg.com/media/Dd2moLLVAAEha-i?format=jpg&name=360x360,https://twitter.com/columbiaasia/status/999137907146452993
TDCX,@tdcxgroup,2018-06-04T11:30:21.000Z,Thank you to everyone who participated in Teledirect Malaysia’s recent blood donation drive. Your selfless act of compassion will make difference in the life of someone who really needs it.  #Teledirect #Malaysia #TDCares #CSR #BloodDonation,,,,,https://pbs.twimg.com/media/De2Au1VVAAIsWAg?format=jpg&name=360x360,https://twitter.com/tdcxgroup/status/1003599836489363456
"AKaiOnce320
#EyesWideOpen #Why_Not",@Aik_Kaisone96,2018-06-13T18:07:50.000Z,"今天 是 又意思 的日子~ <3

614 Tzuyu birthday
614 Blood Donation Day 
614 Taeil (NCT) birthday 
614 Donald Trump birthday 
614 Malaysia McDonald Durian ice cream relaunch 
614 Incredible 2 release
614 World Cup 2018 in Russia 1st match",💛 ❤ 🍭,,1,3,,https://twitter.com/Aik_Kaisone96/status/1006961358137643016
TLC Malaysia,@tlc_malaysia,2018-06-14T01:43:58.000Z,"Happy World Blood Donor Day! 
Every blood donation is a gift of life.",,,,1,https://pbs.twimg.com/media/DfnaZqNUEAEavDL?format=jpg&name=small,https://twitter.com/tlc_malaysia/status/1007076146993770496
Morgan Stanly,@GEanalyst,2018-06-30T06:19:13.000Z,"@KKMPutrajaya
 How about the 2018 world Blood donation day, How come Malaysia not celebrating.",,,1,1,,https://twitter.com/GEanalyst/status/1012943620607901696
Mir_Yana,@sayaMirza_,2018-07-05T08:42:16.000Z,"Finally had my first Blood Donation today 
 done one more thing from my #BucketList 
.
Anyway i just wanted to share about the offered privileges for the donors in Malaysia :)
.
Hoping to encourage more people to donate their blood 
.
Start your better Future NOW °°",💛 😍 😍,,,1,https://abs-0.twimg.com/emoji/v2/svg/1f60d.svg,https://twitter.com/sayaMirza_/status/1014791560087474176
Soo Hon Keong (蘇漢强),@SooHK,2018-07-12T00:48:12.000Z,#Malaysia #Puchong Blood Donation https://facebook.com/soohk/posts/10155708297497336…,,,,,,https://twitter.com/SooHK/status/1017208970308702208
MBO Cinemas,@mbocinemas,2018-08-03T04:33:53.000Z,"MBO and St John Ambulance of Malaysia together with Pusat Darah Negara Blood Donation Drive 5.0 is back this year from 17-19 August! Visit our event page at http://bit.ly/MBObdd2018 for all the details.0:56
1.1K views",,,28,279,https://pbs.twimg.com/ext_tw_video_thumb/1025237564314140672/pu/img/YfgW5DjN4H55YYho.jpg,https://twitter.com/mbocinemas/status/1025238300322291712
MBO Cinemas,@mbocinemas,2018-08-03T04:33:53.000Z,"MBO and St John Ambulance of Malaysia together with Pusat Darah Negara Blood Donation Drive 5.0 is back this year from 17-19 August! Visit our event page at http://bit.ly/MBObdd2018 for all the details.0:56
1.1K views",,,28,279,,https://twitter.com/mbocinemas/status/1025238300322291712
aliyyxh,@aliyyaaahz,2018-08-07T10:30:30.000Z,"Sudahlah tu making silly statements. There are things that need not be said. Dahlah people in malaysia already malas to go for proper for HIV checkup and prefer to just go for blood donation blood testing to know abt their HIV status, like can i even talk about being selfish?Quote Tweet
Alicia
@AliciaAmin
 · Aug 7, 2018
But real talk: if you’re homosexual / promiscuous & you want to donate blood anyway- you could! U could lie about your sex life and sexuality but regardless, they WILL screen all blood anyway. 

This “elimination” process on the card only exists because screening is expensive.
Show this thread",,1,,,https://pbs.twimg.com/profile_images/1311510416925683713/dtrF2JbB_mini.jpg,https://twitter.com/aliyyaaahz/status/1026777596418174977
"Hello, For Chen Union",@ForChenUnion,2018-08-14T17:02:54.000Z,"Good news to fellow EXOLs in Malaysia!

A blood donation campaign will be held on 25th August 2018 (Saturday) at Ground Floor GM Klang, Selangor.

So, let’s go and donate blood! Don’t forget to take picture and tag us.

#EXO
⁠ ⁠ #Chen #JONGDAE #Jongdae #첸 #종대 #HappyChenDay",,1,89,70,https://abs.twimg.com/hashflags/SMTOWN_LIVE_Culture_Humanity_2021_BAEKHYUN/SMTOWN_LIVE_Culture_Humanity_2021_BAEKHYUN.png,https://twitter.com/ForChenUnion/status/1029413064632754176
Kelvin Lim,@positivelykelv,2018-08-16T04:08:23.000Z,"Blood donation drive at the office. Who says tattooed people can't donate blood? 
. Do what we can to help... #donateblood @ Alliance Bank Malaysia https://instagram.com/p/BmhpquWnfRI/?utm_source=ig_twitter_share&igshid=18jb53378sfjf…",😅,,,,https://abs-0.twimg.com/emoji/v2/svg/1f605.svg,https://twitter.com/positivelykelv/status/1029942925625581568
RAJ ARIA,@rajsez,2018-08-18T05:40:45.000Z,"Suck it...suck it like u mean it!!! 
 - MBO Blood Donation Drive 5.0 — supporting Pusat Darah Negara Malaysia at MBO Cinemas https://facebook.com/749987984/posts/10157074114087985/…",😝 😝 😝,,,,https://abs-0.twimg.com/emoji/v2/svg/1f61d.svg,https://twitter.com/rajsez/status/1030690945711448070
shammy,@shamla1602,2018-08-21T06:32:43.000Z,Blood Donation at Putrajaya Malaysia.,,,,,https://pbs.twimg.com/media/DlGoBuQVsAA4OO8?format=jpg&name=small,https://twitter.com/shamla1602/status/1031791187621863424
Po\w/eR sTaR,@Dhanaraj_pspk,2018-09-02T17:24:06.000Z,"Pawankalyan fans conducts blood donation drive in #Malaysia
#HBDJanasenaniPawanKalyan1:10
430 views",,,29,32,,https://twitter.com/Dhanaraj_pspk/status/1036303768181202944
"KamalHaasan
Our Pride!",@KHOurPride,2018-08-29T01:51:58.000Z,"#KamalHaasan changed fans club to welfare association 3 decades before and has been doing welfare activities since then.

On the other hand, no comments...

Honesty is the policy of #MakkalNeedhiMaiam which holds all rules within it.

Releasing rule book doesn't mean anythingQuote Tweet
Srikanth
@srikanthkaran33
 · Aug 28, 2018
When @ikamalhaasan started Makkal Needhi Miam, he promised in 6 months manifesto will be released, which still NOT.
On other hand, @rajinikanth releases a rule book tomembers which gives sneak peak how his manifesto gonna be!

Did Kamal started giving false promises already?",➖ 🔦 😂,4,33,80,https://pbs.twimg.com/profile_images/1349347092557221889/RwMk97wZ_mini.jpg,https://twitter.com/KHOurPride/status/1034619639118974977
DΙΝΞΣΗ RΛGUΝΛΤΗΛΝ,@dneshragunathan,2018-08-29T08:04:59.000Z,"Bro, even in Malaysia also got Kamal Hassan's Welfare Association. They organise blood donation campaign and mary more.",,,,1,,https://twitter.com/dneshragunathan/status/1034713511908134913
Soo Hon Keong (蘇漢强),@SooHK,2018-08-30T22:35:00.000Z,#malaysia #penang need blood donation https://facebook.com/story.php?story_fbid=10155822712102336&id=572777335…,,,,,,https://twitter.com/SooHK/status/1035294844766351361
خَلِيْلُ رَفَّلِی,@mkabmr,2018-08-29T06:26:42.000Z,Maybe the gomen of the day should consider refusing blood donation and starts to buy blood by pints as we are beginning to stop freebies in the age of Malaysia Baharu,,,,,,https://twitter.com/mkabmr/status/1034688775928958979
