UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Azril Ramli,@AzrilRamli30,2015-01-01T10:28:59.000Z,Banjir: KKM Mohon Orang Ramai Derma Darah: KUALA LUMPUR – Kementerian Kesihatan Malaysia (KKM) hari ini memint... http://bit.ly/1x7YZb5,,,,,,https://twitter.com/AzrilRamli30/status/550599558359547904
Zashnain Zainal,@bedlamfury,2015-01-01T11:40:30.000Z,#Banjir: KKM mohon orang ramai derma darah « Malaysia blood donation drive. http://bit.ly/1Aeh7Qd,,,1,,,https://twitter.com/bedlamfury/status/550617559259574272
Malaysia Agent,@malaysia_agent,2015-01-01T15:32:04.000Z,"Pemilik darah jenis A, AB diminta derma kerana bekalan kritikal http://ift.tt/1rFcjTk #malaysia",,,1,,,https://twitter.com/malaysia_agent/status/550675833443344384
linuxmalaysia (هاريسفازيللاه جامعل),@linuxmalaysia,2015-01-03T00:30:54.000Z,Semua jenis darah diperlukan. Kempen Derma Darah Kepada Rakyat Malaysia http://fb.me/3OjdU61WO,,,,,,https://twitter.com/linuxmalaysia/status/551173822536491009
Mohd Amir Nasution,@MohdAmirNasutio,2015-01-04T09:40:30.000Z,Derma darah untuk mangsa banjir. Katanya darah di sebelah Utara Malaysia memang kurang sangat-sangat… http://instagram.com/p/xbWZHyrl84/,,,,,,https://twitter.com/MohdAmirNasutio/status/551674522865504256
linuxmalaysia (هاريسفازيللاه جامعل),@linuxmalaysia,2015-01-02T07:57:29.000Z,Masa operasi Pusat Darah Negara Kementerian Kesihatan Malaysia dilanjutkan sepanjang bulan Januari ini. Jom derma... http://fb.me/3dqXqizbF,,,,,,https://twitter.com/linuxmalaysia/status/550923823462510592
mynewshubENG,@mynewshubENG,2015-01-01T10:02:53.000Z,Banjir: KKM Mohon Orang Ramai Derma Darah: KUALA LUMPUR – Kementerian Kesihatan Malaysia… http://goo.gl/fb/3D5uJb,,,,,,https://twitter.com/mynewshubENG/status/550592991392301058
Berita BM,@BeritaBM,2015-01-01T14:15:41.000Z,"Pemilik darah jenis A, AB diminta derma kerana bekalan kritikal http://bit.ly/1AjKBgR #beritabm #malaysia",,,,,,https://twitter.com/BeritaBM/status/550656610029158400
Berita BM,@BeritaBM,2015-01-07T15:52:30.000Z,Kempen derma darah mangsa banjir melebihi sasaran http://bit.ly/1AFnv4v #beritabm #malaysia,,,,,,https://twitter.com/BeritaBM/status/552855304426106880
KKMalaysia,@KKMPutrajaya,2015-01-06T04:08:05.000Z,KEMENTERIAN KESIHATAN MALAYSIA akan mengadakan Kempen Derma Darah Khas Untuk Membantu Mangsa Banjir Pantai Timur... http://fb.me/21hktzk6Q,,6,85,95,,https://twitter.com/KKMPutrajaya/status/552315642314227713
RTM Malaysia,@RTM_Malaysia,2015-01-06T05:57:36.000Z,Kempen Derma Darah untuk membantu penduduk terjejas banjir terutamanya di Pantai Timur akan berlangsung esok.... http://fb.me/6WXeMAVLH,,,2,1,,https://twitter.com/RTM_Malaysia/status/552343203090026496
Lan,@zailaniothman82,2015-01-06T11:24:10.000Z,KEMENTERIAN KESIHATAN MALAYSIA akn mngadakan Kempen Derma Darah Khas Utk Membantu Mangsa Banjir Pantai Timur... http://fb.me/21hktzk6Q #jp12,,,,,,https://twitter.com/zailaniothman82/status/552425385770905601
KKMalaysia,@KKMPutrajaya,2015-01-07T09:58:36.000Z,"KENYATAAN MEDIA MENTERI KESIHATAN MALAYSIA
SEMPENA PROGRAM KEMPEN DERMA DARAH UNTUK MEMBANTU MANGSA BANJIR PANTAI TIMUR

#KamiSediaMembantu",,,3,3,,https://twitter.com/KKMPutrajaya/status/552766243346718720
Buletin TV3,@BuletinTV3,2015-01-06T03:15:10.000Z,Kementerian Kesihatan Malaysia akan mengadakan Kempen Derma Darah Untuk Membantu Mangsa Banjir Pantai Timur bagi... http://fb.me/7pifWi322,,,4,4,,https://twitter.com/BuletinTV3/status/552302327181606913
V.Sivakumar,@Sivatronoh,2015-01-14T17:26:09.000Z,"Kempen Derma Darah Malaysia Hindu Sangam, Majlis Batu Gajah (11/1/2015) http://fb.me/6ZL0E3PCg",,,1,,,https://twitter.com/Sivatronoh/status/555415587032014848
Misiah Taib,@MisiahTaib,2015-01-13T15:24:08.000Z,"Jom derma darah utk bantu mangsa banjir, syabas 
@RTM_Malaysia",,,,,https://pbs.twimg.com/media/B7PV-d8CQAE1e5w?format=jpg&name=900x900,https://twitter.com/MisiahTaib/status/555022492788465665
RTD BIKERZ,@RTDBikerz,2015-01-14T15:37:50.000Z,"Replying to 
@JPJ_Malaysia“
@JPJ_Malaysia
: Kempen Derma Darah di 
@JPJPerlis
 jom raikan @SkuadM1JPJ 
@KP_JPJ
 @AKaprawi
 @liowtionglai
 @KSU_MOT
 ”",,,2,1,https://pbs.twimg.com/media/B7UfSbaCIAEHqjS?format=jpg&name=small,https://twitter.com/RTDBikerz/status/555388325343657986
RTM Malaysia,@RTM_Malaysia,2015-01-15T03:00:01.000Z,"Jemput datang beramai-ramai menyertai ""Kempen Derma Darah Untuk Pantai Timur"" mulai pukul 10.00 pagi hingga 4.00... http://fb.me/1TZwwE37R",,,1,1,,https://twitter.com/RTM_Malaysia/status/555560003038236674
RTM Malaysia,@RTM_Malaysia,2015-01-15T03:18:38.000Z,"Hari ini RTM Bikers Club dengan kerjasama Pusat Darah Negara menganjurkan ""Kempen Derma Darah Untuk Pantai Timur""... http://fb.me/1DvHHpx1f",,,,1,,https://twitter.com/RTM_Malaysia/status/555564687384117248
RTM Malaysia,@RTM_Malaysia,2015-01-15T04:37:48.000Z,"Sekitar Kempen Derma Darah anjuran RTM Bikers Club dan Pusat Darah Negara, bertempat di Foyer Wisma Radio,... http://fb.me/38jXqvPyB",,,,1,,https://twitter.com/RTM_Malaysia/status/555584610747555840
JPJ Malaysia,@JPJ_Malaysia,2015-01-14T15:19:42.000Z,Kempen Derma Darah di JPJ Perlis http://fb.me/1QGYAyp4S,,,1,1,,https://twitter.com/JPJ_Malaysia/status/555383763807772673
V.Sivakumar,@Sivatronoh,2015-01-14T17:30:45.000Z,"Syabas diucapkan kpd Hindu Sangam Malaysia, Majlis Batu Gajah kerana berjaya menganjurkan kempen derma darah di... http://fb.me/48exgNFfw",,,,,,https://twitter.com/Sivatronoh/status/555416743834050560
JPJ Malaysia,@JPJ_Malaysia,2015-01-14T15:22:48.000Z,"Kempen Derma Darah di 
@JPJPerlis
 jom raikan @SkuadM1JPJ 
@KP_JPJ
 @AKaprawi
 @liowtionglai
 @KSU_MOT",,1,1,1,https://pbs.twimg.com/media/B7UfSbaCIAEHqjS?format=jpg&name=small,https://twitter.com/JPJ_Malaysia/status/555384544262500353
ISMA - Ikatan Muslimin Malaysia,@ikatanmuslimin,2015-01-25T17:00:24.000Z,"BERITA | ISMA DHL dan I-Medik anjur Kempen Derma Darah

BANGI, 26 Jan– Ikatan Muslimin Malaysia Cawangan Hulu... http://fb.me/6jrIVErBW",,,1,1,,https://twitter.com/ikatanmuslimin/status/559395373647941632
malik j costa,@malikjcosta,2015-01-21T08:41:02.000Z,"derma darah???
selama ni aku ingatkan bank darah d hospital2 seluruh Malaysia menyimpan darah yang… http://instagram.com/p/yHA28BomMY/",,,,,,https://twitter.com/malikjcosta/status/557820149647286272
AF80,@andyfrasco80,2015-01-25T17:38:42.000Z,"ISMA DHL dan I-Medik anjur Kempen Derma Darah: BANGI, 26 Jan– Ikatan Muslimin Malaysia Cawangan Daerah Hulu La... http://bit.ly/1uMEG3G",,,,,,https://twitter.com/andyfrasco80/status/559405010031607808
,@sharatulaqma,2015-01-29T09:20:00.000Z,Bestnyee gas malaysia bt kempen derma darah .,💃,,1,1,,https://twitter.com/sharatulaqma/status/560729061379428352
KPM,@KemPendidikan,2015-02-05T06:21:05.000Z,Liputan Akhbar Utusan Malaysia (ruangan Hello Kampus) bertarikh 4 Februari 2015 - Program Derma Darah Politeknik... http://fb.me/4iOhOaXhh,,,,1,,https://twitter.com/KemPendidikan/status/563220748425527296
Berita BM,@BeritaBM,2015-02-22T03:43:34.000Z,Hospital Sibu sasar belia anjur kempen derma darah http://bit.ly/1B36uDr #beritabm #malaysia,,,,,,https://twitter.com/BeritaBM/status/569341704483966977
RTM Malaysia,@RTM_Malaysia,2015-02-22T05:36:31.000Z,Hospital Sibu menyasarkan untuk menjadikan golongan belia sebagai penganjur muda dalam kempen derma darah bagi... http://fb.me/46RHSDSuE,,,,,,https://twitter.com/RTM_Malaysia/status/569370126992195584
Berita BM,@BeritaBM,2015-02-22T03:08:42.000Z,Hospital Sibu sasar belia anjur kempen derma darah http://bit.ly/1B2XzSw #beritabm #malaysia,,,,,,https://twitter.com/BeritaBM/status/569332927827349504
Mutiara Iliya,@mutiarailiya,2015-02-22T03:11:14.000Z,"#malaysia - Hospital Sibu Sasar Belia Anjur Kempen Derma Darah: SIBU – Hospital Sibu menyasarka... http://bit.ly/1B2VKVK via 
@mynewshub",,,,,,https://twitter.com/mutiarailiya/status/569333564816257024
gerakgempur,@gerakgempur_10,2015-02-25T07:52:32.000Z,Sukacitanya dimaklumkan bahawa Wirawati Perkasa Malaysia akan menganjurkan Kempen Derma Darah dengan kerjasama... http://fb.me/2H1ohUjYP,,,,,,https://twitter.com/gerakgempur_10/status/570491520601735169
gerakgempur,@gerakgempur_10,2015-02-28T08:21:08.000Z,Kempen Derma Darah Anjuran Wirawati Perkasa Malaysia Bersama Pusat Darah Negara — feeling happy at Kelab Sultan... http://fb.me/2RS3CqeIK,,,,,,https://twitter.com/gerakgempur_10/status/571585883620683776
,@saishahbakri,2015-03-18T07:04:36.000Z,"Nak derma darah tapi darah tak cukup 
 (@ Library Level 1 in Malacca, Malaysia) https://swarmapp.com/c/eiEHWqmd9jp",🅰 🅱 😔,1,1,1,https://abs-0.twimg.com/emoji/v2/svg/1f614.svg,https://twitter.com/saishahbakri/status/578089605439721473
Lester Ng Kim Ho,@lesterngkimho,2015-04-09T02:36:22.000Z,"#USM #MPDCG #HariIni : Program Derma Darah @ Pusat Sejahtera, Universiti Sains Malaysia, dari jam 9… https://instagram.com/p/1PNXq1uJ8b/",,,,,,https://twitter.com/lesterngkimho/status/585994631751446528
MPD BPCG,@MPDBPCG,2015-04-09T02:31:54.000Z,"#USM #MPDCG #HariIni : Program Derma Darah @ Pusat Sejahtera, Universiti Sains Malaysia, dari jam 9… https://instagram.com/p/1PM2_dgu1H/",,,,,,https://twitter.com/MPDBPCG/status/585993507912822784
RELA Kota Belud,@Rela_Kbelud,2015-04-20T04:59:40.000Z,"Kempen Derma Darah Sempena Program Semarak Komuniti 1 Malaysia 
@samasuddin_sab
 @rela_sabah",,,5,1,https://pbs.twimg.com/media/CDApTKrVAAAiln2?format=jpg&name=small,https://twitter.com/Rela_Kbelud/status/590016961964212224
Sann_Jimbau,@SannJimbau,2015-04-26T08:29:41.000Z,"26/4-Kmpn Derma Darah anjran Telekom Malaysia Berhad 
@relaserian
 @RELA_Sarawak
 @relamalaysia",,,8,,https://pbs.twimg.com/media/CDgSvSdUgAAkEyG?format=jpg&name=360x360,https://twitter.com/SannJimbau/status/592244143448981504
Nor Azman bin Abdul,@mankalimoi,2015-04-26T09:28:42.000Z,"RT""
@SannJimbau
: 26/4-Kmpn Derma Darah anjran Telekom Malaysia Berhad 
@relaserian
 @RELA_Sarawak
 @relamalaysia
 """,,,,,https://pbs.twimg.com/media/CDgSvSdUgAAkEyG?format=jpg&name=360x360,https://twitter.com/mankalimoi/status/592258994699304961
W A W A,@Lailatul_Azwa,2015-05-09T06:50:06.000Z,Wahhh...ayah sedang derma darah sempena Hari Bomba Malaysia...banyak dah bagi darah tu...bukti di… https://instagram.com/p/2c6QLSAs2T/,,,,,,https://twitter.com/Lailatul_Azwa/status/596930121342328832
natassha maznan,@tasyachelsi,2015-05-10T11:12:18.000Z,"Kalau jadi balik malaysia, before that kena pergi derma darah dulu..dah dekat setahun tak derma",,,,,,https://twitter.com/tasyachelsi/status/597358495625814016
Mutiara Iliya,@mutiarailiya,2015-05-10T13:32:48.000Z,"#malaysia - Program Derma Darah Polis Johor Sasar 200 Penderma: JOHOR BAHRU – Polis Johor menya... http://bit.ly/1zPQDbj via 
@mynewshub",,,,,,https://twitter.com/mutiarailiya/status/597393854954745856
Pasukan bomba sukarela felda sahabat,@felda_sahabat,2015-05-06T05:47:48.000Z,SURAT JEMPUTAN PROGRAM DERMA DARAH DARI JABATAN SUKARELAWAN MALAYSIA ( RELA ) DAERAH LAHAD DATU DAN FELDA SAHABAT.,,,2,4,https://pbs.twimg.com/media/CETNu6DXIAAVLYN?format=jpg&name=900x900,https://twitter.com/felda_sahabat/status/595827280997416960
ZHJ,@ZahrulHisyam,2015-05-12T08:19:50.000Z,First time derma darah. @ KYB-UMW MALAYSIA SDN BHD https://instagram.com/p/2ky6MhJh_E/,,,,1,,https://twitter.com/ZahrulHisyam/status/598039869164789760
Penerangan Johor,@japenjohor,2015-05-18T07:45:05.000Z,"Kempen Derma Darah Anjuran Jabatan Kimia Malaysia, Negeri Johor pd 19 Mei 2015,9.00 pg #JP02 
@hhbjutawan
 @amannurul
 @ibrahman
 @JauharOnline",,,1,1,,https://twitter.com/japenjohor/status/600205450714304514
linuxmalaysia (هاريسفازيللاه جامعل),@linuxmalaysia,2015-05-20T07:39:50.000Z,"Dipetik dari Blood Bank Hospital Umum Sarawak

Untuk Kempen Derma Darah Kepada Rakyat Malaysia

Pertemuan singkat... http://fb.me/6DpiktWXK",,,,,,https://twitter.com/linuxmalaysia/status/600928904170332160
