,UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Kevin Koo Seng Kiat,@kevinkoosk,2015-01-03T08:18:41.000Z,Flood victims on Malaysia's east coast require blood donation. #Blood4Flood campaign 9-11 January #mybanjir,,,1.0,,https://pbs.twimg.com/media/B6aUvXZCAAIMwHZ?format=jpg&name=900x900,https://twitter.com/kevinkoosk/status/551291546008424448
1,Zashnain Zainal,@bedlamfury,2015-01-01T11:40:30.000Z,#Banjir: KKM mohon orang ramai derma darah « Malaysia blood donation drive. http://bit.ly/1Aeh7Qd,,,1.0,,,https://twitter.com/bedlamfury/status/550617559259574272
2,Malaysia Agent,@malaysia_agent,2015-01-07T16:39:02.000Z,Floods: Blood donation campaign exceeds target http://ift.tt/14vuQaG #malaysia,,,,,,https://twitter.com/malaysia_agent/status/552867013241352193
3,SME Bank,@SME_Bank,2015-01-12T01:57:17.000Z,"Blood Donation Campaign

The National Blood Centre Malaysia urgently requires blood to meet the increased demand... http://fb.me/1ugpiJB6O",,,,,,https://twitter.com/SME_Bank/status/554457054891757568
4,Anak Sarawak,@sarawak_twt,2015-01-14T15:03:07.000Z,"Mun nak cerita psl blood donation, masa jd curator twt malaysia dlok ada pdh. Sama juak waktu first time jd curator sarawak twt",,,,2.0,,https://twitter.com/sarawak_twt/status/555379589988380674
5,V.Sivakumar,@Sivatronoh,2015-01-11T04:51:32.000Z,"Attending blood donation campaign organised by Malaysia Hindu Sangam, Batu Gajah at Changkat Tamil School",,,,,,https://twitter.com/Sivatronoh/status/554138518042066944
6,Triple Dis,@rfqbhqi,2015-01-17T02:56:49.000Z,"Cargill Cares Malaysia National Blood Donation Day. (@ IOI Mall in Puchong, Selangor) https://swarmapp.com/c/4vlkuUkO2ME",,,,1.0,,https://twitter.com/rfqbhqi/status/556283973857734657
7,PoinTChonG@ManHanD慢行,PoinTChonG@ManHanD慢行,2015-01-17T06:25:01.000Z,"Blood donation at Endah Parade Sri Petaling , go to FB : sedarah malaysia for more info http://instagram.com/p/x8eWxGIVrF/",,,,,,https://twitter.com/PoinTChonG/status/556336371166875648
8,Taufiq Airiz,@taufiqarifin11,2015-03-07T10:48:09.000Z,"So proud,hope so in Malaysia one day..
during blood donation and some sport event... http://fb.me/4AqkSMWwI",,,,,,https://twitter.com/taufiqarifin11/status/574159595519799298
9,Izwan Husin 🅛,@izwanhusin_,2015-03-10T00:55:32.000Z,"Blood donation drive @ Wipro Unza Sdn. Bhd. 
 (@ Wipro-Unza (Malaysia) Sdn. Bhd.) https://swarmapp.com/c/chsIzdZkSts",🅰 🅱 🆎 🅾,,,,https://abs-0.twimg.com/emoji/v2/svg/1f170.svg,https://twitter.com/izwanhusin_/status/575097621397835776
10,mohamad hannan,@mohamadhannan94,2015-03-19T03:29:25.000Z,"blood donation (@ Hostel KK1, Universiti Sains Islam Malaysia) https://swarmapp.com/c/bZV3l4Gn9jf",,,,1.0,,https://twitter.com/mohamadhannan94/status/578397836674535424
11,JuiceSky,@JuiceSkyAds,2015-04-10T07:49:09.000Z,RedSaver Blood Donation FREE Lao Po Dou Hua - Malaysia Delicious Organic Tofu / Soybean Pudding... http://fb.me/7ozJWwQEX,,,,,,https://twitter.com/JuiceSkyAds/status/586435737576288256
12,Bikesrepublic,@BikesRepublic,2015-04-13T03:49:03.000Z,kawasaki Motors Malaysia's 7th annual blood donation campaign http://goo.gl/DxCi3y #kawasaki,,,,,,https://twitter.com/BikesRepublic/status/587462478071664640
13,Rizzman,@aidyrizz,2015-04-14T04:34:01.000Z,"Blood Donation now happening at KKIA T1  #JP14 #Malaysia 
@JapenSabah
 @MusaHjAman
 @Almain_Ajirul",,,4.0,,https://pbs.twimg.com/media/CChBwsfUIAAsjKs?format=jpg&name=small,https://twitter.com/aidyrizz/status/587836181020151808
14,{ATOM},@_ATOMbot,2015-04-27T08:34:56.000Z,Nepal PM calls for blood donation: KATHMANDU: Nepalese Prime Minister Sushil Koirala has  appe... http://bit.ly/1A4vvIX #malaysia #news,,,,,,https://twitter.com/_ATOMbot/status/592607849437466624
15,Asia Pacific News,@AsiaPacNews,2015-04-27T06:54:08.000Z,Malaysia News:~ > Nepal Prime Minister Calls For Blood Donation In Wake Of Quake http://dlvr.it/9Ysqxm #Malaysia #Asia,,,,,,https://twitter.com/AsiaPacNews/status/592582485180973056
16,Izwan Husin 🅛,@izwanhusin_,2015-05-09T12:15:39.000Z,"Mobile Blood Donation @ UPM. 
 #PusatDarahNegara @ Universiti Putra Malaysia https://instagram.com/p/2dff2dFgqu/",🚑,1.0,,,https://abs-0.twimg.com/emoji/v2/svg/1f691.svg,https://twitter.com/izwanhusin_/status/597012052545253376
17,Ainul Yaqeen,@YaqeenAinul,2015-05-16T04:39:59.000Z,Blood donation drive organize by majlis Khuddamul ahmadiyah Malaysia #LoveForAllHatredForNone #Ahmadiyya,,,6.0,1.0,https://pbs.twimg.com/media/CFGeH5BUUAEpvpp?format=jpg&name=900x900,https://twitter.com/YaqeenAinul/status/599434094347362304
18,mohdnor tokidoki●○•°,@alongchaos,2015-05-18T04:05:35.000Z,"Blood donation. 
Selepas sekian lama bru tau jenis darah sndri
#VSCOcam @ Telekom Malaysia,(TMSC)… https://instagram.com/p/2zylYLRCCx/",😂 😂,,,,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,https://twitter.com/alongchaos/status/600150213110665217
19,faz,@FatinAinaZureen,2015-05-19T03:36:30.000Z,"@twt_malaysia
 hai nak tanya, ada sesiapa kat sini penderma organ? Thank you.",,7.0,2.0,,,https://twitter.com/FatinAinaZureen/status/600505281756340224
